ok  	github.com/Overclock-Validator/mithril/pkg/accounts	0.223s
ok  	github.com/Overclock-Validator/mithril/pkg/blockprod	0.499s
ok  	github.com/Overclock-Validator/mithril/pkg/blockprod/scheduler	0.593s
ok  	github.com/Overclock-Validator/mithril/pkg/costmodel	0.816s
ok  	github.com/Overclock-Validator/mithril/pkg/merkletree	0.625s
ok  	github.com/Overclock-Validator/mithril/pkg/replay	1.666s
ok  	github.com/Overclock-Validator/mithril/pkg/fees	0.985s
ok  	github.com/Overclock-Validator/mithril/pkg/turbine	2.322s
ok  	github.com/Overclock-Validator/mithril/pkg/config	1.300s
ok  	github.com/Overclock-Validator/mithril/cmd/mithril/node	1.840s
