goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/mithril/pkg/turbine
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_4/sparse_4tx_200ms_overlap-8         	       3	 200692627 ns/op	         0.02155 avg_cpu_cores	        64.00 components/block	         4.324 cpu-ms/block	         0.5307 feed_lag_p50-ms	         0.9496 feed_lag_p95-ms	         4.000 mean_width	         0.5792 ready_p50-ms	         1.004 ready_p95-ms	         0.7962 residual_p50-ms	         0.9766 residual_p95-ms	       256.0 signatures/block	      1276 signatures/s	         0.001232 submit_p50-ms	         0.003516 submit_p95-ms	  405549 B/op	    1227 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_4/sparse_7tx_200ms_overlap-8         	       3	 200734923 ns/op	         0.02505 avg_cpu_cores	        37.00 components/block	         5.029 cpu-ms/block	         0.5435 feed_lag_p50-ms	         0.9882 feed_lag_p95-ms	         3.507 mean_width	         0.6193 ready_p50-ms	         1.055 ready_p95-ms	         0.8195 residual_p50-ms	         1.028 residual_p95-ms	       256.0 signatures/block	      1275 signatures/s	         0.001703 submit_p50-ms	         0.005821 submit_p95-ms	  376309 B/op	     931 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_4/sparse_7tx_200ms_overlap-8         	       3	 200839933 ns/op	         0.02110 avg_cpu_cores	        37.00 components/block	         4.237 cpu-ms/block	         0.5533 feed_lag_p50-ms	         1.006 feed_lag_p95-ms	         3.507 mean_width	         0.6087 ready_p50-ms	         1.060 ready_p95-ms	         0.9924 residual_p50-ms	         1.071 residual_p95-ms	       256.0 signatures/block	      1275 signatures/s	         0.001212 submit_p50-ms	         0.003216 submit_p95-ms	  376301 B/op	     930 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_4/sparse_7tx_200ms_overlap-8         	       3	 200166050 ns/op	         0.02238 avg_cpu_cores	        37.00 components/block	         4.480 cpu-ms/block	         0.5576 feed_lag_p50-ms	         1.003 feed_lag_p95-ms	         3.507 mean_width	         0.6392 ready_p50-ms	         1.089 ready_p95-ms	         0.1596 residual_p50-ms	         0.1676 residual_p95-ms	       256.0 signatures/block	      1279 signatures/s	         0.001563 submit_p50-ms	         0.003787 submit_p95-ms	  376301 B/op	     930 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_4/sparse_8tx_200ms_overlap-8         	       3	 200891132 ns/op	         0.02598 avg_cpu_cores	        32.00 components/block	         5.220 cpu-ms/block	         0.6103 feed_lag_p50-ms	         1.029 feed_lag_p95-ms	         4.000 mean_width	         0.6923 ready_p50-ms	         1.127 ready_p95-ms	         0.9305 residual_p50-ms	         1.072 residual_p95-ms	       256.0 signatures/block	      1274 signatures/s	         0.002044 submit_p50-ms	         0.01812 submit_p95-ms	  370733 B/op	     875 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_4/sparse_8tx_200ms_overlap-8         	       3	 200748211 ns/op	         0.01877 avg_cpu_cores	        32.00 components/block	         3.768 cpu-ms/block	         0.4370 feed_lag_p50-ms	         1.023 feed_lag_p95-ms	         4.000 mean_width	         0.5164 ready_p50-ms	         1.080 ready_p95-ms	         0.7419 residual_p50-ms	         0.7640 residual_p95-ms	       256.0 signatures/block	      1275 signatures/s	         0.001562 submit_p50-ms	         0.003406 submit_p95-ms	  370733 B/op	     875 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_4/sparse_8tx_200ms_overlap-8         	       3	 200821061 ns/op	         0.02266 avg_cpu_cores	        32.00 components/block	         4.551 cpu-ms/block	         0.6271 feed_lag_p50-ms	         1.025 feed_lag_p95-ms	         4.000 mean_width	         0.6833 ready_p50-ms	         1.099 ready_p95-ms	         0.8705 residual_p50-ms	         0.9203 residual_p95-ms	       256.0 signatures/block	      1275 signatures/s	         0.001843 submit_p50-ms	         0.01049 submit_p95-ms	  370733 B/op	     875 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_8/catchup-8                          	       3	  88134578 ns/op	         2.097 avg_cpu_cores	         1.000 components/block	       184.8 cpu-ms/block	         0.0004010 feed_lag_p50-ms	         0.0008320 feed_lag_p95-ms	         8.000 mean_width	        89.14 ready_p50-ms	        92.15 ready_p95-ms	        89.14 residual_p50-ms	        92.15 residual_p95-ms	     33760 signatures/block	    383051 signatures/s	         0.005991 submit_p50-ms	         0.01270 submit_p95-ms	44478298 B/op	   67549 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_8/catchup-8                          	       3	  86113936 ns/op	         2.090 avg_cpu_cores	         1.000 components/block	       180.0 cpu-ms/block	         0.0002600 feed_lag_p50-ms	         0.0007320 feed_lag_p95-ms	         8.000 mean_width	        84.68 ready_p50-ms	        89.35 ready_p95-ms	        84.68 residual_p50-ms	        89.35 residual_p95-ms	     33760 signatures/block	    392039 signatures/s	         0.004137 submit_p50-ms	         0.005370 submit_p95-ms	44386656 B/op	   67544 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_8/catchup-8                          	       3	  84405778 ns/op	         2.098 avg_cpu_cores	         1.000 components/block	       177.1 cpu-ms/block	         0.0002500 feed_lag_p50-ms	         0.0004810 feed_lag_p95-ms	         8.000 mean_width	        84.06 ready_p50-ms	        85.34 ready_p95-ms	        84.06 residual_p50-ms	        85.34 residual_p95-ms	     33760 signatures/block	    399973 signatures/s	         0.004048 submit_p50-ms	         0.004588 submit_p95-ms	44569941 B/op	   67554 allocs/op
