goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/mithril/pkg/turbine
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkEntryPrefetchAssembly/generated_1232B/workers_2/target_8/tip_200ms/overlap_on-8        	       3	 231567222 ns/op	         1.363 avg_cpu_cores	       201.1 collection_p50-ms	       201.2 collection_p95-ms	         0 completion_parse_p50-ms	         0 completion_parse_p95-ms	         0.1245 completion_sigverify_p50-ms	         0.1492 completion_sigverify_p95-ms	       691.0 components/block	       315.7 cpu-ms/block	     44160 data_shreds/block	     33760 early_verified_tx/block	        28.97 full_to_ready_p50-ms	        34.61 full_to_ready_p95-ms	         7.001 mean_width	         0.1317 preparation_wait_p50-ms	         0.1370 preparation_wait_p95-ms	     33760 tx/block	307432845 B/op	  250046 allocs/op
BenchmarkEntryPrefetchAssembly/generated_1232B/workers_4/target_8/catchup/overlap_off-8         	       3	  98393903 ns/op	         2.983 avg_cpu_cores	         8.190 collection_p50-ms	         8.563 collection_p95-ms	         4.938 completion_parse_p50-ms	         5.485 completion_parse_p95-ms	        55.91 completion_sigverify_p50-ms	        57.00 completion_sigverify_p95-ms	       691.0 components/block	       293.5 cpu-ms/block	     44160 data_shreds/block	         0 early_verified_tx/block	        88.12 full_to_ready_p50-ms	        95.35 full_to_ready_p95-ms	         8.000 mean_width	         0 preparation_wait_p50-ms	         0 preparation_wait_p95-ms	     33760 tx/block	260266082 B/op	  235474 allocs/op
BenchmarkEntryPrefetchAssembly/generated_1232B/workers_4/target_8/catchup/overlap_off-8         	       3	 105755933 ns/op	         2.776 avg_cpu_cores	         8.602 collection_p50-ms	         9.822 collection_p95-ms	         6.422 completion_parse_p50-ms	         7.668 completion_parse_p95-ms	        52.00 completion_sigverify_p50-ms	        60.88 completion_sigverify_p95-ms	       691.0 components/block	       293.6 cpu-ms/block	     44160 data_shreds/block	         0 early_verified_tx/block	        90.69 full_to_ready_p50-ms	       112.2 full_to_ready_p95-ms	         8.000 mean_width	         0 preparation_wait_p50-ms	         0 preparation_wait_p95-ms	     33760 tx/block	260174000 B/op	  235467 allocs/op
BenchmarkEntryPrefetchAssembly/generated_1232B/workers_4/target_8/catchup/overlap_off-8         	       3	  81434919 ns/op	         3.009 avg_cpu_cores	         6.353 collection_p50-ms	         6.417 collection_p95-ms	         4.568 completion_parse_p50-ms	         4.630 completion_parse_p95-ms	        44.00 completion_sigverify_p50-ms	        44.05 completion_sigverify_p95-ms	       691.0 components/block	       245.1 cpu-ms/block	     44160 data_shreds/block	         0 early_verified_tx/block	        75.94 full_to_ready_p50-ms	        77.03 full_to_ready_p95-ms	         8.000 mean_width	         0 preparation_wait_p50-ms	         0 preparation_wait_p95-ms	     33760 tx/block	260402965 B/op	  235479 allocs/op
BenchmarkEntryPrefetchAssembly/generated_1232B/workers_4/target_8/catchup/overlap_on-8          	       3	  81921701 ns/op	         3.107 avg_cpu_cores	         9.142 collection_p50-ms	         9.153 collection_p95-ms	         4.251 completion_parse_p50-ms	         4.784 completion_parse_p95-ms	        41.90 completion_sigverify_p50-ms	        42.10 completion_sigverify_p95-ms	       691.0 components/block	       254.5 cpu-ms/block	     44160 data_shreds/block	      3430 early_verified_tx/block	        75.23 full_to_ready_p50-ms	        75.61 full_to_ready_p95-ms	         7.885 mean_width	         0.007166 preparation_wait_p50-ms	         0.01060 preparation_wait_p95-ms	     33760 tx/block	267789989 B/op	  237063 allocs/op
BenchmarkEntryPrefetchAssembly/generated_1232B/workers_4/target_8/catchup/overlap_on-8          	       3	 106211708 ns/op	         2.960 avg_cpu_cores	        12.72 collection_p50-ms	        12.77 collection_p95-ms	         6.076 completion_parse_p50-ms	         6.677 completion_parse_p95-ms	        49.86 completion_sigverify_p50-ms	        57.70 completion_sigverify_p95-ms	       691.0 components/block	       314.4 cpu-ms/block	     44160 data_shreds/block	      3397 early_verified_tx/block	        91.87 full_to_ready_p50-ms	        99.87 full_to_ready_p95-ms	         7.886 mean_width	         0.01751 preparation_wait_p50-ms	         0.01784 preparation_wait_p95-ms	     33760 tx/block	267653104 B/op	  237049 allocs/op
BenchmarkEntryPrefetchAssembly/generated_1232B/workers_4/target_8/catchup/overlap_on-8          	       3	  85283927 ns/op	         2.979 avg_cpu_cores	         9.315 collection_p50-ms	        10.89 collection_p95-ms	         3.727 completion_parse_p50-ms	         5.583 completion_parse_p95-ms	        41.31 completion_sigverify_p50-ms	        43.80 completion_sigverify_p95-ms	       691.0 components/block	       254.1 cpu-ms/block	     44160 data_shreds/block	      3561 early_verified_tx/block	        75.15 full_to_ready_p50-ms	        86.25 full_to_ready_p95-ms	         7.880 mean_width	         0.01225 preparation_wait_p50-ms	         0.01287 preparation_wait_p95-ms	     33760 tx/block	267515682 B/op	  237096 allocs/op
BenchmarkEntryPrefetchAssembly/generated_1232B/workers_4/target_8/tip_200ms/overlap_off-8       	       3	 276365085 ns/op	         0.8723 avg_cpu_cores	       201.5 collection_p50-ms	       201.6 collection_p95-ms	         4.437 completion_parse_p50-ms	         4.504 completion_parse_p95-ms	        43.22 completion_sigverify_p50-ms	        43.60 completion_sigverify_p95-ms	       691.0 components/block	       241.1 cpu-ms/block	     44160 data_shreds/block	         0 early_verified_tx/block	        77.04 full_to_ready_p50-ms	        77.05 full_to_ready_p95-ms	         8.000 mean_width	         0 preparation_wait_p50-ms	         0 preparation_wait_p95-ms	     33760 tx/block	260403005 B/op	  235479 allocs/op
BenchmarkEntryPrefetchAssembly/generated_1232B/workers_4/target_8/tip_200ms/overlap_off-8       	       3	 280110502 ns/op	         0.9259 avg_cpu_cores	       200.8 collection_p50-ms	       201.1 collection_p95-ms	         4.666 completion_parse_p50-ms	         4.728 completion_parse_p95-ms	        44.11 completion_sigverify_p50-ms	        56.80 completion_sigverify_p95-ms	       691.0 components/block	       259.4 cpu-ms/block	     44160 data_shreds/block	         0 early_verified_tx/block	        77.81 full_to_ready_p50-ms	        86.07 full_to_ready_p95-ms	         8.000 mean_width	         0 preparation_wait_p50-ms	         0 preparation_wait_p95-ms	     33760 tx/block	260495133 B/op	  235486 allocs/op
BenchmarkEntryPrefetchAssembly/generated_1232B/workers_4/target_8/tip_200ms/overlap_off-8       	       3	 276593977 ns/op	         0.8742 avg_cpu_cores	       201.6 collection_p50-ms	       201.7 collection_p95-ms	         4.198 completion_parse_p50-ms	         6.163 completion_parse_p95-ms	        43.50 completion_sigverify_p50-ms	        44.33 completion_sigverify_p95-ms	       691.0 components/block	       241.8 cpu-ms/block	     44160 data_shreds/block	         0 early_verified_tx/block	        75.26 full_to_ready_p50-ms	        79.84 full_to_ready_p95-ms	         8.000 mean_width	         0 preparation_wait_p50-ms	         0 preparation_wait_p95-ms	     33760 tx/block	259991381 B/op	  235460 allocs/op
BenchmarkEntryPrefetchAssembly/generated_1232B/workers_4/target_8/tip_200ms/overlap_on-8        	       3	 227100110 ns/op	         1.166 avg_cpu_cores	       201.2 collection_p50-ms	       201.4 collection_p95-ms	         0 completion_parse_p50-ms	         0 completion_parse_p95-ms	         0.1103 completion_sigverify_p50-ms	         0.1149 completion_sigverify_p95-ms	       691.0 components/block	       264.9 cpu-ms/block	     44160 data_shreds/block	     33760 early_verified_tx/block	        25.08 full_to_ready_p50-ms	        27.44 full_to_ready_p95-ms	         7.001 mean_width	         0.1228 preparation_wait_p50-ms	         0.1240 preparation_wait_p95-ms	     33760 tx/block	307747917 B/op	  250014 allocs/op
BenchmarkEntryPrefetchAssembly/generated_1232B/workers_4/target_8/tip_200ms/overlap_on-8        	       3	 241182176 ns/op	         1.235 avg_cpu_cores	       201.4 collection_p50-ms	       202.9 collection_p95-ms	         0.01357 completion_parse_p50-ms	         0.04438 completion_parse_p95-ms	         0.3222 completion_sigverify_p50-ms	         0.4977 completion_sigverify_p95-ms	       691.0 components/block	       297.8 cpu-ms/block	     44160 data_shreds/block	     33712 early_verified_tx/block	        34.46 full_to_ready_p50-ms	        51.53 full_to_ready_p95-ms	         7.001 mean_width	         0.1261 preparation_wait_p50-ms	         0.1812 preparation_wait_p95-ms	     33760 tx/block	307727008 B/op	  250008 allocs/op
BenchmarkEntryPrefetchAssembly/generated_1232B/workers_4/target_8/tip_200ms/overlap_on-8        	       3	 226480518 ns/op	         1.167 avg_cpu_cores	       200.9 collection_p50-ms	       201.3 collection_p95-ms	         0.01037 completion_parse_p50-ms	         0.01195 completion_parse_p95-ms	         0.2797 completion_sigverify_p50-ms	         0.3548 completion_sigverify_p95-ms	       691.0 components/block	       264.2 cpu-ms/block	     44160 data_shreds/block	     33728 early_verified_tx/block	        25.69 full_to_ready_p50-ms	        25.87 full_to_ready_p95-ms	         7.001 mean_width	         0.1226 preparation_wait_p50-ms	         0.1242 preparation_wait_p95-ms	     33760 tx/block	307612829 B/op	  250008 allocs/op
PASS
