goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/mithril/pkg/turbine
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkTransactionVerificationFlow/captured_2622581/workers_2/target_8/catchup-8                          	       3	  83724900 ns/op	         2.025 avg_cpu_cores	         1.000 components/block	       169.5 cpu-ms/block	         0.0003300 feed_lag_p50-ms	         0.0004310 feed_lag_p95-ms	         8.000 mean_width	        86.47 ready_p50-ms	        87.41 ready_p95-ms	        86.47 residual_p50-ms	        87.41 residual_p95-ms	     33760 signatures/block	    403225 signatures/s	         0.007554 submit_p50-ms	         0.007595 submit_p95-ms	 7023253 B/op	   67538 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_2/target_8/tip_200ms_after_complete-8         	       3	 275675193 ns/op	         0.5545 avg_cpu_cores	       126.0 components/block	       152.9 cpu-ms/block	       100.2 feed_lag_p50-ms	       191.4 feed_lag_p95-ms	         8.000 mean_width	       175.6 ready_p50-ms	       266.8 ready_p95-ms	        75.25 residual_p50-ms	        76.98 residual_p95-ms	     33760 signatures/block	    122463 signatures/s	         0.01418 submit_p50-ms	         0.01462 submit_p95-ms	 7033472 B/op	   67539 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_2/target_8/tip_200ms_after_complete-8         	       3	 288578162 ns/op	         0.6196 avg_cpu_cores	       126.0 components/block	       178.8 cpu-ms/block	       100.2 feed_lag_p50-ms	       191.4 feed_lag_p95-ms	         8.000 mean_width	       188.3 ready_p50-ms	       279.5 ready_p95-ms	        86.33 residual_p50-ms	        98.29 residual_p95-ms	     33760 signatures/block	    116987 signatures/s	         0.01635 submit_p50-ms	         0.01759 submit_p95-ms	 7033461 B/op	   67539 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_2/target_8/tip_200ms_after_complete-8         	       3	 275152604 ns/op	         0.5544 avg_cpu_cores	       126.0 components/block	       152.5 cpu-ms/block	       100.1 feed_lag_p50-ms	       191.3 feed_lag_p95-ms	         8.000 mean_width	       175.0 ready_p50-ms	       266.2 ready_p95-ms	        75.23 residual_p50-ms	        76.00 residual_p95-ms	     33760 signatures/block	    122696 signatures/s	         0.01576 submit_p50-ms	         0.01683 submit_p95-ms	 7079245 B/op	   67541 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_2/target_8/tip_200ms_overlap-8                	       3	 201070435 ns/op	         0.8694 avg_cpu_cores	       126.0 components/block	       174.8 cpu-ms/block	         0.4408 feed_lag_p50-ms	         0.9889 feed_lag_p95-ms	         7.912 mean_width	         1.219 ready_p50-ms	         1.939 ready_p95-ms	         1.278 residual_p50-ms	         1.368 residual_p95-ms	     33760 signatures/block	    167901 signatures/s	         0.001523 submit_p50-ms	         0.005731 submit_p95-ms	 7175717 B/op	   68921 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_2/target_8/tip_200ms_overlap-8                	       3	 201082624 ns/op	         0.7981 avg_cpu_cores	       126.0 components/block	       160.5 cpu-ms/block	         0.5138 feed_lag_p50-ms	         1.002 feed_lag_p95-ms	         7.912 mean_width	         1.116 ready_p50-ms	         1.674 ready_p95-ms	         1.053 residual_p50-ms	         1.128 residual_p95-ms	     33760 signatures/block	    167891 signatures/s	         0.001002 submit_p50-ms	         0.002716 submit_p95-ms	 7175933 B/op	   68923 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_2/target_8/tip_200ms_overlap-8                	       3	 201301027 ns/op	         0.7960 avg_cpu_cores	       126.0 components/block	       160.2 cpu-ms/block	         0.5253 feed_lag_p50-ms	         0.9638 feed_lag_p95-ms	         7.912 mean_width	         1.160 ready_p50-ms	         1.610 ready_p95-ms	         1.264 residual_p50-ms	         1.409 residual_p95-ms	     33760 signatures/block	    167709 signatures/s	         0.001052 submit_p50-ms	         0.002464 submit_p95-ms	 7176285 B/op	   68929 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_4/target_4/catchup-8                          	       3	  79099409 ns/op	         3.964 avg_cpu_cores	         1.000 components/block	       313.6 cpu-ms/block	         0.0002610 feed_lag_p50-ms	         0.0008310 feed_lag_p95-ms	         4.000 mean_width	        76.63 ready_p50-ms	        85.46 ready_p95-ms	        76.63 residual_p50-ms	        85.46 residual_p95-ms	     33760 signatures/block	    426805 signatures/s	         0.006302 submit_p50-ms	         0.006773 submit_p95-ms	 7023410 B/op	   67538 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_4/target_4/catchup-8                          	       3	  80922132 ns/op	         3.958 avg_cpu_cores	         1.000 components/block	       320.3 cpu-ms/block	         0.0003000 feed_lag_p50-ms	         0.0006520 feed_lag_p95-ms	         4.000 mean_width	        77.50 ready_p50-ms	        87.97 ready_p95-ms	        77.50 residual_p50-ms	        87.97 residual_p95-ms	     33760 signatures/block	    417191 signatures/s	         0.006211 submit_p50-ms	         0.01736 submit_p95-ms	 7023410 B/op	   67538 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_4/target_4/catchup-8                          	       3	  75579922 ns/op	         4.026 avg_cpu_cores	         1.000 components/block	       304.3 cpu-ms/block	         0.0003910 feed_lag_p50-ms	         0.0004910 feed_lag_p95-ms	         4.000 mean_width	        75.53 ready_p50-ms	        75.76 ready_p95-ms	        75.53 residual_p50-ms	        75.76 residual_p95-ms	     33760 signatures/block	    446679 signatures/s	         0.004758 submit_p50-ms	         0.005430 submit_p95-ms	 7023405 B/op	   67538 allocs/op
