goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/mithril/pkg/turbine
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkEntryPrefetchAssembly/captured_2622581/workers_2/target_8/tip_200ms/overlap_on-8        	       3	 207559046 ns/op	         0.8943 avg_cpu_cores	       200.6 collection_p50-ms	       200.9 collection_p95-ms	         0 completion_parse_p50-ms	         0 completion_parse_p95-ms	         0.01885 completion_sigverify_p50-ms	         0.01951 completion_sigverify_p95-ms	       128.0 components/block	       185.6 cpu-ms/block	      8128 data_shreds/block	     33760 early_verified_tx/block	         7.755 full_to_ready_p50-ms	         8.173 full_to_ready_p95-ms	         7.912 mean_width	         0.02086 preparation_wait_p50-ms	         0.02149 preparation_wait_p95-ms	     33760 tx/block	69823114 B/op	  279217 allocs/op
BenchmarkEntryPrefetchAssembly/captured_2622581/workers_4/target_8/catchup/overlap_off-8         	       3	  55875291 ns/op	         3.314 avg_cpu_cores	         1.291 collection_p50-ms	         1.709 collection_p95-ms	         7.281 completion_parse_p50-ms	         7.313 completion_parse_p95-ms	        40.25 completion_sigverify_p50-ms	        42.81 completion_sigverify_p95-ms	       128.0 components/block	       185.2 cpu-ms/block	      8128 data_shreds/block	         0 early_verified_tx/block	        55.07 full_to_ready_p50-ms	        55.62 full_to_ready_p95-ms	         8.000 mean_width	         0 preparation_wait_p50-ms	         0 preparation_wait_p95-ms	     33760 tx/block	60611714 B/op	  276263 allocs/op
BenchmarkEntryPrefetchAssembly/captured_2622581/workers_4/target_8/catchup/overlap_off-8         	       3	  61860407 ns/op	         3.216 avg_cpu_cores	         1.169 collection_p50-ms	         2.221 collection_p95-ms	         7.116 completion_parse_p50-ms	        10.84 completion_parse_p95-ms	        47.89 completion_sigverify_p50-ms	        48.65 completion_sigverify_p95-ms	       128.0 components/block	       198.9 cpu-ms/block	      8128 data_shreds/block	         0 early_verified_tx/block	        62.07 full_to_ready_p50-ms	        67.59 full_to_ready_p95-ms	         8.000 mean_width	         0 preparation_wait_p50-ms	         0 preparation_wait_p95-ms	     33760 tx/block	60473978 B/op	  276254 allocs/op
BenchmarkEntryPrefetchAssembly/captured_2622581/workers_4/target_8/catchup/overlap_off-8         	       3	  55571155 ns/op	         3.375 avg_cpu_cores	         1.177 collection_p50-ms	         1.290 collection_p95-ms	         7.277 completion_parse_p50-ms	         7.356 completion_parse_p95-ms	        42.47 completion_sigverify_p50-ms	        44.27 completion_sigverify_p95-ms	       128.0 components/block	       187.6 cpu-ms/block	      8128 data_shreds/block	         0 early_verified_tx/block	        54.23 full_to_ready_p50-ms	        54.69 full_to_ready_p95-ms	         8.000 mean_width	         0 preparation_wait_p50-ms	         0 preparation_wait_p95-ms	     33760 tx/block	60748730 B/op	  276268 allocs/op
BenchmarkEntryPrefetchAssembly/captured_2622581/workers_4/target_8/catchup/overlap_on-8          	       3	  66703191 ns/op	         3.379 avg_cpu_cores	         2.562 collection_p50-ms	         2.726 collection_p95-ms	         8.584 completion_parse_p50-ms	        10.03 completion_parse_p95-ms	        50.79 completion_sigverify_p50-ms	        52.88 completion_sigverify_p95-ms	       128.0 components/block	       225.4 cpu-ms/block	      8128 data_shreds/block	       448.3 early_verified_tx/block	        63.43 full_to_ready_p50-ms	        70.57 full_to_ready_p95-ms	         7.995 mean_width	         0.001262 preparation_wait_p50-ms	         0.001913 preparation_wait_p95-ms	     33760 tx/block	63510485 B/op	  276470 allocs/op
BenchmarkEntryPrefetchAssembly/captured_2622581/workers_4/target_8/catchup/overlap_on-8          	       3	  67443208 ns/op	         3.253 avg_cpu_cores	         2.138 collection_p50-ms	         2.190 collection_p95-ms	         9.260 completion_parse_p50-ms	         9.645 completion_parse_p95-ms	        48.49 completion_sigverify_p50-ms	        51.30 completion_sigverify_p95-ms	       128.0 components/block	       219.4 cpu-ms/block	      8128 data_shreds/block	       717.3 early_verified_tx/block	        66.76 full_to_ready_p50-ms	        66.92 full_to_ready_p95-ms	         7.996 mean_width	         0.0007000 preparation_wait_p50-ms	         0.001174 preparation_wait_p95-ms	     33760 tx/block	63344117 B/op	  276427 allocs/op
BenchmarkEntryPrefetchAssembly/captured_2622581/workers_4/target_8/catchup/overlap_on-8          	       3	  52447666 ns/op	         3.460 avg_cpu_cores	         1.682 collection_p50-ms	         1.766 collection_p95-ms	         6.681 completion_parse_p50-ms	         7.321 completion_parse_p95-ms	        37.96 completion_sigverify_p50-ms	        38.18 completion_sigverify_p95-ms	       128.0 components/block	       181.5 cpu-ms/block	      8128 data_shreds/block	       358.7 early_verified_tx/block	        51.77 full_to_ready_p50-ms	        52.04 full_to_ready_p95-ms	         7.996 mean_width	         0.0009730 preparation_wait_p50-ms	         0.001014 preparation_wait_p95-ms	     33760 tx/block	63509837 B/op	  276467 allocs/op
BenchmarkEntryPrefetchAssembly/captured_2622581/workers_4/target_8/tip_200ms/overlap_off-8       	       3	 251131391 ns/op	         0.7197 avg_cpu_cores	       200.6 collection_p50-ms	       200.8 collection_p95-ms	         6.767 completion_parse_p50-ms	         7.056 completion_parse_p95-ms	        39.38 completion_sigverify_p50-ms	        39.88 completion_sigverify_p95-ms	       128.0 components/block	       180.7 cpu-ms/block	      8128 data_shreds/block	         0 early_verified_tx/block	        50.30 full_to_ready_p50-ms	        51.33 full_to_ready_p95-ms	         8.000 mean_width	         0 preparation_wait_p50-ms	         0 preparation_wait_p95-ms	     33760 tx/block	60474034 B/op	  276254 allocs/op
BenchmarkEntryPrefetchAssembly/captured_2622581/workers_4/target_8/tip_200ms/overlap_off-8       	       3	 250708659 ns/op	         0.7074 avg_cpu_cores	       200.7 collection_p50-ms	       200.8 collection_p95-ms	         6.285 completion_parse_p50-ms	         6.691 completion_parse_p95-ms	        39.31 completion_sigverify_p50-ms	        40.26 completion_sigverify_p95-ms	       128.0 components/block	       177.3 cpu-ms/block	      8128 data_shreds/block	         0 early_verified_tx/block	        49.88 full_to_ready_p50-ms	        51.60 full_to_ready_p95-ms	         8.000 mean_width	         0 preparation_wait_p50-ms	         0 preparation_wait_p95-ms	     33760 tx/block	60657186 B/op	  276264 allocs/op
BenchmarkEntryPrefetchAssembly/captured_2622581/workers_4/target_8/tip_200ms/overlap_off-8       	       3	 250569171 ns/op	         0.7089 avg_cpu_cores	       200.7 collection_p50-ms	       201.2 collection_p95-ms	         6.188 completion_parse_p50-ms	         6.469 completion_parse_p95-ms	        39.20 completion_sigverify_p50-ms	        40.32 completion_sigverify_p95-ms	       128.0 components/block	       177.6 cpu-ms/block	      8128 data_shreds/block	         0 early_verified_tx/block	        49.62 full_to_ready_p50-ms	        50.23 full_to_ready_p95-ms	         8.000 mean_width	         0 preparation_wait_p50-ms	         0 preparation_wait_p95-ms	     33760 tx/block	60748789 B/op	  276269 allocs/op
BenchmarkEntryPrefetchAssembly/captured_2622581/workers_4/target_8/tip_200ms/overlap_on-8        	       3	 208138109 ns/op	         0.8932 avg_cpu_cores	       201.2 collection_p50-ms	       201.2 collection_p95-ms	         0 completion_parse_p50-ms	         0 completion_parse_p95-ms	         0.01720 completion_sigverify_p50-ms	         0.02235 completion_sigverify_p95-ms	       128.0 components/block	       185.9 cpu-ms/block	      8128 data_shreds/block	     33760 early_verified_tx/block	         7.853 full_to_ready_p50-ms	         8.999 full_to_ready_p95-ms	         7.912 mean_width	         0.02114 preparation_wait_p50-ms	         0.02434 preparation_wait_p95-ms	     33760 tx/block	69690304 B/op	  279213 allocs/op
BenchmarkEntryPrefetchAssembly/captured_2622581/workers_4/target_8/tip_200ms/overlap_on-8        	       3	 207816740 ns/op	         0.9928 avg_cpu_cores	       200.8 collection_p50-ms	       201.1 collection_p95-ms	         0 completion_parse_p50-ms	         0 completion_parse_p95-ms	         0.02023 completion_sigverify_p50-ms	         0.02548 completion_sigverify_p95-ms	       128.0 components/block	       206.3 cpu-ms/block	      8128 data_shreds/block	     33760 early_verified_tx/block	         7.829 full_to_ready_p50-ms	         8.333 full_to_ready_p95-ms	         7.912 mean_width	         0.01985 preparation_wait_p50-ms	         0.02489 preparation_wait_p95-ms	     33760 tx/block	69734096 B/op	  279203 allocs/op
BenchmarkEntryPrefetchAssembly/captured_2622581/workers_4/target_8/tip_200ms/overlap_on-8        	       3	 207211686 ns/op	         0.8998 avg_cpu_cores	       200.3 collection_p50-ms	       200.9 collection_p95-ms	         0 completion_parse_p50-ms	         0 completion_parse_p95-ms	         0.01778 completion_sigverify_p50-ms	         0.02121 completion_sigverify_p95-ms	       128.0 components/block	       186.4 cpu-ms/block	      8128 data_shreds/block	     33760 early_verified_tx/block	         7.442 full_to_ready_p50-ms	         8.205 full_to_ready_p95-ms	         7.912 mean_width	         0.02017 preparation_wait_p50-ms	         0.02153 preparation_wait_p95-ms	     33760 tx/block	69779202 B/op	  279201 allocs/op
PASS
