goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/mithril/pkg/replay
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkTransactionStatusSmallPublication/txs_32/legacy-2                	   23206	      5158 ns/op	    6320 B/op	      23 allocs/op
BenchmarkTransactionStatusSmallPublication/txs_32/legacy-2                	   22210	      5145 ns/op	    6320 B/op	      23 allocs/op
BenchmarkTransactionStatusSmallPublication/txs_32/legacy-2                	   23406	      5305 ns/op	    6320 B/op	      23 allocs/op
BenchmarkTransactionStatusSmallPublication/txs_32/legacy-2                	   23084	      5114 ns/op	    6320 B/op	      23 allocs/op
BenchmarkTransactionStatusSmallPublication/txs_32/prepared_total          	   26672	      4343 ns/op	    3616 B/op	      13 allocs/op
BenchmarkTransactionStatusSmallPublication/txs_32/prepared_total          	   26752	      4456 ns/op	    3616 B/op	      13 allocs/op
BenchmarkTransactionStatusSmallPublication/txs_32/prepared_total          	   27342	      4471 ns/op	    3616 B/op	      13 allocs/op
BenchmarkTransactionStatusSmallPublication/txs_32/prepared_total          	   26960	      4312 ns/op	    3616 B/op	      13 allocs/op
BenchmarkTransactionStatusSmallPublication/txs_32/prepared_total          	   27775	      4592 ns/op	    3616 B/op	      13 allocs/op
BenchmarkTransactionStatusSmallPublication/txs_32/prepared_total-2        	   31856	      3644 ns/op	    3616 B/op	      13 allocs/op
BenchmarkTransactionStatusSmallPublication/txs_32/prepared_total-2        	   32778	      3717 ns/op	    3616 B/op	      13 allocs/op
BenchmarkTransactionStatusSmallPublication/txs_32/prepared_total-2        	   32239	      3784 ns/op	    3616 B/op	      13 allocs/op
BenchmarkTransactionStatusSmallPublication/txs_32/prepared_total-2        	   30372	      3818 ns/op	    3616 B/op	      13 allocs/op
BenchmarkTransactionStatusSmallPublication/txs_32/prepared_total-2        	   32263	      3770 ns/op	    3616 B/op	      13 allocs/op
PASS
